ルーム,対戦者,結果
ルーム1: コンピューター82(チョキ) vs コンピューター93(チョキ) - あいこ
ルーム5: コンピューター57(パ―) vs コンピューター82(パ―) - あいこ
ルーム5: コンピューター57(パ―) vs コンピューター82(パ―) - あいこ
ルーム5: コンピューター57(グー) vs コンピューター82(パ―) - 勝者: コンピューター82
ルーム6: コンピューター40(グー) vs コンピューター85(チョキ) - 勝者: コンピューター40
ルーム7: コンピューター2(チョキ) vs コンピューター32(グー) - 勝者: コンピューター32
ルーム8: コンピューター11(グー) vs コンピューター50(チョキ) - 勝者: コンピューター11
ルーム9: コンピューター99(パ―) vs コンピューター48(チョキ) - 勝者: コンピューター48
ルーム10: コンピューター65(グー) vs コンピューター93(パ―) - 勝者: コンピューター93
ルーム11: コンピューター100(チョキ) vs コンピューター64(チョキ) - あいこ
ルーム11: コンピューター100(チョキ) vs コンピューター64(グー) - 勝者: コンピューター64
ルーム12: コンピューター41(グー) vs コンピューター84(パ―) - 勝者: コンピューター84
ルーム13: コンピューター62(チョキ) vs コンピューター42(パ―) - 勝者: コンピューター62
ルーム14: コンピューター22(パ―) vs コンピューター9(チョキ) - 勝者: コンピューター9
ルーム15: コンピューター8(グー) vs コンピューター24(グー) - あいこ
ルーム15: コンピューター8(チョキ) vs コンピューター24(チョキ) - あいこ
ルーム15: コンピューター8(チョキ) vs コンピューター24(グー) - 勝者: コンピューター24
ルーム16: コンピューター97(グー) vs コンピューター13(チョキ) - 勝者: コンピューター97
ルーム17: コンピューター94(チョキ) vs コンピューター33(グー) - 勝者: コンピューター33
ルーム18: コンピューター81(パ―) vs コンピューター95(パ―) - あいこ
ルーム18: コンピューター81(パ―) vs コンピューター95(チョキ) - 勝者: コンピューター95
ルーム19: コンピューター5(パ―) vs コンピューター7(グー) - 勝者: コンピューター5
ルーム20: コンピューター10(グー) vs コンピューター17(パ―) - 勝者: コンピューター17
ルーム21: コンピューター21(グー) vs コンピューター25(チョキ) - 勝者: コンピューター21
ルーム22: コンピューター26(パ―) vs コンピューター29(グー) - 勝者: コンピューター26
ルーム23: コンピューター34(グー) vs コンピューター37(パ―) - 勝者: コンピューター37
ルーム24: コンピューター39(パ―) vs コンピューター47(チョキ) - 勝者: コンピューター47
ルーム25: コンピューター51(パ―) vs コンピューター55(パ―) - あいこ
ルーム25: コンピューター51(チョキ) vs コンピューター55(チョキ) - あいこ
ルーム25: コンピューター51(チョキ) vs コンピューター55(グー) - 勝者: コンピューター55
ルーム26: コンピューター56(パ―) vs コンピューター61(チョキ) - 勝者: コンピューター61
ルーム27: コンピューター66(チョキ) vs コンピューター67(パ―) - 勝者: コンピューター66
ルーム28: コンピューター69(チョキ) vs コンピューター72(チョキ) - あいこ
ルーム28: コンピューター69(パ―) vs コンピューター72(パ―) - あいこ
ルーム28: コンピューター69(チョキ) vs コンピューター72(パ―) - 勝者: コンピューター69
ルーム29: コンピューター78(グー) vs コンピューター79(パ―) - 勝者: コンピューター79
ルーム30: コンピューター83(チョキ) vs コンピューター87(パ―) - 勝者: コンピューター83
ルーム31: コンピューター88(グー) vs コンピューター89(チョキ) - 勝者: コンピューター88
ルーム32: コンピューター92(グー) vs コンピューター96(チョキ) - 勝者: コンピューター92
ルーム1: コンピューター14(パ―) vs コンピューター76(グー) - 勝者: コンピューター14
ルーム2: コンピューター91(グー) vs コンピューター43(チョキ) - 勝者: コンピューター91
ルーム3: コンピューター82(パ―) vs コンピューター40(グー) - 勝者: コンピューター82
ルーム4: コンピューター32(グー) vs コンピューター11(グー) - あいこ
ルーム4: コンピューター32(チョキ) vs コンピューター11(グー) - 勝者: コンピューター11
ルーム5: コンピューター48(チョキ) vs コンピューター93(パ―) - 勝者: コンピューター48
ルーム6: コンピューター64(グー) vs コンピューター84(パ―) - 勝者: コンピューター84
ルーム7: コンピューター62(チョキ) vs コンピューター9(チョキ) - あいこ
ルーム7: コンピューター62(パ―) vs コンピューター9(グー) - 勝者: コンピューター62
ルーム8: コンピューター24(グー) vs コンピューター97(グー) - あいこ
ルーム8: コンピューター24(チョキ) vs コンピューター97(パ―) - 勝者: コンピューター24
ルーム9: コンピューター33(グー) vs コンピューター95(チョキ) - 勝者: コンピューター33
ルーム10: コンピューター5(パ―) vs コンピューター17(パ―) - あいこ
ルーム10: コンピューター5(パ―) vs コンピューター17(チョキ) - 勝者: コンピューター17
ルーム11: コンピューター21(グー) vs コンピューター26(パ―) - 勝者: コンピューター26
ルーム12: コンピューター37(パ―) vs コンピューター47(チョキ) - 勝者: コンピューター47
ルーム13: コンピューター55(グー) vs コンピューター61(チョキ) - 勝者: コンピューター55
ルーム14: コンピューター66(チョキ) vs コンピューター69(チョキ) - あいこ
ルーム14: コンピューター66(チョキ) vs コンピューター69(パ―) - 勝者: コンピューター66
ルーム15: コンピューター79(パ―) vs コンピューター83(チョキ) - 勝者: コンピューター83
ルーム16: コンピューター88(グー) vs コンピューター92(グー) - あいこ
ルーム16: コンピューター88(パ―) vs コンピューター92(グー) - 勝者: コンピューター88
ルーム1: コンピューター14(パ―) vs コンピューター91(グー) - 勝者: コンピューター14
ルーム2: コンピューター82(パ―) vs コンピューター11(グー) - 勝者: コンピューター82
ルーム3: コンピューター48(チョキ) vs コンピューター84(パ―) - 勝者: コンピューター48
ルーム4: コンピューター62(パ―) vs コンピューター24(チョキ) - 勝者: コンピューター24
ルーム5: コンピューター33(グー) vs コンピューター17(チョキ) - 勝者: コンピューター33
ルーム6: コンピューター26(パ―) vs コンピューター47(チョキ) - 勝者: コンピューター47
ルーム7: コンピューター55(グー) vs コンピューター66(チョキ) - 勝者: コンピューター55
ルーム8: コンピューター83(チョキ) vs コンピューター88(パ―) - 勝者: コンピューター83
ルーム1: コンピューター14(パ―) vs コンピューター82(パ―) - あいこ
ルーム1: コンピューター14(チョキ) vs コンピューター82(グー) - 勝者: コンピューター82
ルーム2: コンピューター48(チョキ) vs コンピューター24(チョキ) - あいこ
ルーム2: コンピューター48(グー) vs コンピューター24(グー) - あいこ
ルーム2: コンピューター48(グー) vs コンピューター24(チョキ) - 勝者: コンピューター48
ルーム3: コンピューター33(グー) vs コンピューター47(チョキ) - 勝者: コンピューター33
ルーム4: コンピューター55(グー) vs コンピューター83(チョキ) - 勝者: コンピューター55
ルーム1: コンピューター82(グー) vs コンピューター48(グー) - あいこ
ルーム1: コンピューター82(パ―) vs コンピューター48(グー) - 勝者: コンピューター82
ルーム2: コンピューター33(グー) vs コンピューター55(グー) - あいこ
ルーム2: コンピューター33(パ―) vs コンピューター55(パ―) - あいこ
ルーム2: コンピューター33(チョキ) vs コンピューター55(チョキ) - あいこ
ルーム2: コンピューター33(チョキ) vs コンピューター55(パ―) - 勝者: コンピューター33
ルーム1: コンピューター82(パ―) vs コンピューター33(チョキ) - 勝者: コンピューター33
ルーム1: コンピューター17(チョキ) vs コンピューター40(グー) - 勝者: コンピューター40
ルーム2: コンピューター91(パ―) vs コンピューター86(チョキ) - 勝者: コンピューター86
ルーム3: コンピューター93(チョキ) vs コンピューター1(チョキ) - あいこ
ルーム3: コンピューター93(パ―) vs コンピューター1(チョキ) - 勝者: コンピューター1
ルーム4: コンピューター19(パ―) vs コンピューター88(チョキ) - 勝者: コンピューター88
ルーム5: コンピューター36(パ―) vs コンピューター95(チョキ) - 勝者: コンピューター95
ルーム6: コンピューター100(グー) vs コンピューター59(パ―) - 勝者: コンピューター59
ルーム7: コンピューター8(グー) vs コンピューター76(パ―) - 勝者: コンピューター76
ルーム8: コンピューター3(チョキ) vs コンピューター34(チョキ) - あいこ
ルーム8: コンピューター3(チョキ) vs コンピューター34(パ―) - 勝者: コンピューター3
ルーム9: コンピューター69(グー) vs コンピューター77(グー) - あいこ
ルーム9: コンピューター69(グー) vs コンピューター77(チョキ) - 勝者: コンピューター69
ルーム10: コンピューター31(パ―) vs コンピューター72(チョキ) - 勝者: コンピューター72
ルーム11: コンピューター11(グー) vs コンピューター45(パ―) - 勝者: コンピューター45
ルーム12: コンピューター32(グー) vs コンピューター79(チョキ) - 勝者: コンピューター32
ルーム13: コンピューター35(グー) vs コンピューター49(チョキ) - 勝者: コンピューター35
ルーム14: コンピューター46(パ―) vs コンピューター22(チョキ) - 勝者: コンピューター22
ルーム15: コンピューター33(パ―) vs コンピューター26(グー) - 勝者: コンピューター33
ルーム16: コンピューター53(グー) vs コンピューター58(パ―) - 勝者: コンピューター58
ルーム17: コンピューター56(パ―) vs コンピューター73(グー) - 勝者: コンピューター56
ルーム18: コンピューター44(パ―) vs コンピューター97(チョキ) - 勝者: コンピューター97
ルーム19: コンピューター71(チョキ) vs コンピューター7(チョキ) - あいこ
ルーム19: コンピューター71(チョキ) vs コンピューター7(チョキ) - あいこ
ルーム19: コンピューター71(グー) vs コンピューター7(パ―) - 勝者: コンピューター7
ルーム20: コンピューター66(チョキ) vs コンピューター29(チョキ) - あいこ
ルーム20: コンピューター66(チョキ) vs コンピューター29(パ―) - 勝者: コンピューター66
ルーム21: コンピューター61(チョキ) vs コンピューター98(チョキ) - あいこ
ルーム21: コンピューター61(チョキ) vs コンピューター98(チョキ) - あいこ
ルーム21: コンピューター61(チョキ) vs コンピューター98(パ―) - 勝者: コンピューター61
ルーム22: コンピューター94(パ―) vs コンピューター92(グー) - 勝者: コンピューター94
ルーム23: コンピューター13(チョキ) vs コンピューター57(チョキ) - あいこ
ルーム23: コンピューター13(チョキ) vs コンピューター57(グー) - 勝者: コンピューター57
ルーム24: コンピューター47(パ―) vs コンピューター78(チョキ) - 勝者: コンピューター78
ルーム25: コンピューター21(グー) vs コンピューター12(グー) - あいこ
ルーム25: コンピューター21(パ―) vs コンピューター12(グー) - 勝者: コンピューター21
ルーム26: コンピューター60(グー) vs コンピューター68(グー) - あいこ
ルーム26: コンピューター60(パ―) vs コンピューター68(パ―) - あいこ
ルーム26: コンピューター60(パ―) vs コンピューター68(チョキ) - 勝者: コンピューター68
ルーム27: コンピューター55(パ―) vs コンピューター52(パ―) - あいこ
ルーム27: コンピューター55(チョキ) vs コンピューター52(チョキ) - あいこ
ルーム27: コンピューター55(パ―) vs コンピューター52(チョキ) - 勝者: コンピューター52
ルーム28: コンピューター89(チョキ) vs コンピューター70(チョキ) - あいこ
ルーム28: コンピューター89(チョキ) vs コンピューター70(チョキ) - あいこ
ルーム28: コンピューター89(パ―) vs コンピューター70(パ―) - あいこ
ルーム28: コンピューター89(チョキ) vs コンピューター70(グー) - 勝者: コンピューター70
ルーム29: コンピューター42(グー) vs コンピューター24(グー) - あいこ
ルーム29: コンピューター42(パ―) vs コンピューター24(パ―) - あいこ
ルーム29: コンピューター42(パ―) vs コンピューター24(グー) - 勝者: コンピューター42
ルーム30: コンピューター96(チョキ) vs コンピューター48(グー) - 勝者: コンピューター48
ルーム31: コンピューター38(パ―) vs コンピューター82(チョキ) - 勝者: コンピューター82
ルーム32: コンピューター81(グー) vs コンピューター39(グー) - あいこ
ルーム32: コンピューター81(チョキ) vs コンピューター39(チョキ) - あいこ
ルーム32: コンピューター81(パ―) vs コンピューター39(パ―) - あいこ
ルーム32: コンピューター81(パ―) vs コンピューター39(パ―) - あいこ
ルーム32: コンピューター81(グー) vs コンピューター39(グー) - あいこ
ルーム32: コンピューター81(チョキ) vs コンピューター39(チョキ) - あいこ
ルーム32: コンピューター81(パ―) vs コンピューター39(チョキ) - 勝者: コンピューター39
ルーム33: コンピューター63(グー) vs コンピューター4(グー) - あいこ
ルーム33: コンピューター63(グー) vs コンピューター4(グー) - あいこ
ルーム33: コンピューター63(チョキ) vs コンピューター4(チョキ) - あいこ
ルーム33: コンピューター63(パ―) vs コンピューター4(グー) - 勝者: コンピューター63
ルーム34: コンピューター10(グー) vs コンピューター85(グー) - あいこ
ルーム34: コンピューター10(チョキ) vs コンピューター85(グー) - 勝者: コンピューター85
ルーム35: コンピューター18(パ―) vs コンピューター14(チョキ) - 勝者: コンピューター14
ルーム36: コンピューター20(パ―) vs コンピューター37(パ―) - あいこ
ルーム36: コンピューター20(チョキ) vs コンピューター37(チョキ) - あいこ
ルーム36: コンピューター20(グー) vs コンピューター37(グー) - あいこ
ルーム36: コンピューター20(グー) vs コンピューター37(チョキ) - 勝者: コンピューター20
ルーム1: コンピューター40(グー) vs コンピューター86(チョキ) - 勝者: コンピューター40
ルーム2: コンピューター1(チョキ) vs コンピューター88(チョキ) - あいこ
ルーム2: コンピューター1(パ―) vs コンピューター88(チョキ) - 勝者: コンピューター88
ルーム3: コンピューター95(チョキ) vs コンピューター59(パ―) - 勝者: コンピューター95
ルーム4: コンピューター76(パ―) vs コンピューター3(チョキ) - 勝者: コンピューター3
ルーム5: コンピューター69(グー) vs コンピューター72(チョキ) - 勝者: コンピューター69
ルーム6: コンピューター45(パ―) vs コンピューター32(グー) - 勝者: コンピューター45
ルーム7: コンピューター35(グー) vs コンピューター22(チョキ) - 勝者: コンピューター35
ルーム8: コンピューター33(パ―) vs コンピューター58(パ―) - あいこ
ルーム8: コンピューター33(グー) vs コンピューター58(グー) - あいこ
ルーム8: コンピューター33(グー) vs コンピューター58(パ―) - 勝者: コンピューター58
ルーム9: コンピューター56(パ―) vs コンピューター97(チョキ) - 勝者: コンピューター97
ルーム10: コンピューター7(パ―) vs コンピューター66(チョキ) - 勝者: コンピューター66
ルーム11: コンピューター61(チョキ) vs コンピューター94(パ―) - 勝者: コンピューター61
ルーム12: コンピューター57(グー) vs コンピューター78(チョキ) - 勝者: コンピューター57
ルーム13: コンピューター21(パ―) vs コンピューター68(チョキ) - 勝者: コンピューター68
ルーム14: コンピューター52(チョキ) vs コンピューター70(グー) - 勝者: コンピューター70
ルーム15: コンピューター42(パ―) vs コンピューター48(グー) - 勝者: コンピューター42
ルーム16: コンピューター82(チョキ) vs コンピューター39(チョキ) - あいこ
ルーム16: コンピューター82(グー) vs コンピューター39(チョキ) - 勝者: コンピューター82
ルーム17: コンピューター63(パ―) vs コンピューター85(グー) - 勝者: コンピューター63
ルーム18: コンピューター14(チョキ) vs コンピューター20(グー) - 勝者: コンピューター20
ルーム19: コンピューター2(グー) vs コンピューター5(グー) - あいこ
ルーム19: コンピューター2(グー) vs コンピューター5(パ―) - 勝者: コンピューター5
ルーム20: コンピューター6(グー) vs コンピューター9(チョキ) - 勝者: コンピューター6
ルーム21: コンピューター15(グー) vs コンピューター16(パ―) - 勝者: コンピューター16
ルーム22: コンピューター23(グー) vs コンピューター25(チョキ) - 勝者: コンピューター23
ルーム23: コンピューター27(グー) vs コンピューター28(グー) - あいこ
ルーム23: コンピューター27(チョキ) vs コンピューター28(グー) - 勝者: コンピューター28
ルーム24: コンピューター30(チョキ) vs コンピューター41(パ―) - 勝者: コンピューター30
ルーム25: コンピューター43(チョキ) vs コンピューター50(パ―) - 勝者: コンピューター43
ルーム26: コンピューター51(グー) vs コンピューター54(チョキ) - 勝者: コンピューター51
ルーム27: コンピューター62(パ―) vs コンピューター64(グー) - 勝者: コンピューター62
ルーム28: コンピューター65(チョキ) vs コンピューター67(グー) - 勝者: コンピューター67
ルーム29: コンピューター74(グー) vs コンピューター75(チョキ) - 勝者: コンピューター74
ルーム30: コンピューター80(チョキ) vs コンピューター83(チョキ) - あいこ
ルーム30: コンピューター80(グー) vs コンピューター83(パ―) - 勝者: コンピューター83
ルーム31: コンピューター84(パ―) vs コンピューター87(チョキ) - 勝者: コンピューター87
ルーム32: コンピューター90(パ―) vs コンピューター99(パ―) - あいこ
ルーム32: コンピューター90(チョキ) vs コンピューター99(チョキ) - あいこ
ルーム32: コンピューター90(グー) vs コンピューター99(グー) - あいこ
ルーム32: コンピューター90(チョキ) vs コンピューター99(パ―) - 勝者: コンピューター90
ルーム1: コンピューター40(グー) vs コンピューター88(チョキ) - 勝者: コンピューター40
ルーム2: コンピューター95(チョキ) vs コンピューター3(チョキ) - あいこ
ルーム2: コンピューター95(チョキ) vs コンピューター3(チョキ) - あいこ
ルーム2: コンピューター95(グー) vs コンピューター3(パ―) - 勝者: コンピューター3
ルーム3: コンピューター69(グー) vs コンピューター45(パ―) - 勝者: コンピューター45
ルーム4: コンピューター35(グー) vs コンピューター58(パ―) - 勝者: コンピューター58
ルーム5: コンピューター97(チョキ) vs コンピューター66(チョキ) - あいこ
ルーム5: コンピューター97(パ―) vs コンピューター66(パ―) - あいこ
ルーム5: コンピューター97(チョキ) vs コンピューター66(グー) - 勝者: コンピューター66
ルーム6: コンピューター61(チョキ) vs コンピューター57(グー) - 勝者: コンピューター57
ルーム7: コンピューター68(チョキ) vs コンピューター70(グー) - 勝者: コンピューター70
ルーム8: コンピューター42(パ―) vs コンピューター82(グー) - 勝者: コンピューター42
ルーム9: コンピューター63(パ―) vs コンピューター20(グー) - 勝者: コンピューター63
ルーム10: コンピューター5(パ―) vs コンピューター6(グー) - 勝者: コンピューター5
ルーム11: コンピューター16(パ―) vs コンピューター23(グー) - 勝者: コンピューター16
ルーム12: コンピューター28(グー) vs コンピューター30(チョキ) - 勝者: コンピューター28
ルーム13: コンピューター43(チョキ) vs コンピューター51(グー) - 勝者: コンピューター51
ルーム14: コンピューター62(パ―) vs コンピューター67(グー) - 勝者: コンピューター62
ルーム15: コンピューター74(グー) vs コンピューター83(パ―) - 勝者: コンピューター83
ルーム16: コンピューター87(チョキ) vs コンピューター90(チョキ) - あいこ
ルーム16: コンピューター87(グー) vs コンピューター90(パ―) - 勝者: コンピューター90
ルーム1: コンピューター40(グー) vs コンピューター3(パ―) - 勝者: コンピューター3
ルーム2: コンピューター45(パ―) vs コンピューター58(パ―) - あいこ
ルーム2: コンピューター45(チョキ) vs コンピューター58(チョキ) - あいこ
ルーム2: コンピューター45(チョキ) vs コンピューター58(チョキ) - あいこ
ルーム2: コンピューター45(チョキ) vs コンピューター58(チョキ) - あいこ
ルーム2: コンピューター45(パ―) vs コンピューター58(チョキ) - 勝者: コンピューター58
ルーム3: コンピューター66(グー) vs コンピューター57(グー) - あいこ
ルーム3: コンピューター66(チョキ) vs コンピューター57(パ―) - 勝者: コンピューター66
ルーム4: コンピューター70(グー) vs コンピューター42(パ―) - 勝者: コンピューター42
ルーム5: コンピューター63(パ―) vs コンピューター5(パ―) - あいこ
ルーム5: コンピューター63(チョキ) vs コンピューター5(パ―) - 勝者: コンピューター63
ルーム6: コンピューター16(パ―) vs コンピューター28(グー) - 勝者: コンピューター16
ルーム7: コンピューター51(グー) vs コンピューター62(パ―) - 勝者: コンピューター62
ルーム8: コンピューター83(パ―) vs コンピューター90(パ―) - あいこ
ルーム8: コンピューター83(グー) vs コンピューター90(パ―) - 勝者: コンピューター90
ルーム1: コンピューター3(パ―) vs コンピューター58(チョキ) - 勝者: コンピューター58
ルーム2: コンピューター66(チョキ) vs コンピューター42(パ―) - 勝者: コンピューター66
ルーム3: コンピューター63(チョキ) vs コンピューター16(パ―) - 勝者: コンピューター63
ルーム4: コンピューター62(パ―) vs コンピューター90(パ―) - あいこ
ルーム4: コンピューター62(チョキ) vs コンピューター90(パ―) - 勝者: コンピューター62
ルーム1: コンピューター58(チョキ) vs コンピューター66(チョキ) - あいこ
ルーム1: コンピューター58(チョキ) vs コンピューター66(チョキ) - あいこ
ルーム1: コンピューター58(パ―) vs コンピューター66(グー) - 勝者: コンピューター58
ルーム2: コンピューター63(チョキ) vs コンピューター62(チョキ) - あいこ
ルーム2: コンピューター63(チョキ) vs コンピューター62(グー) - 勝者: コンピューター62
ルーム1: コンピューター58(パ―) vs コンピューター62(グー) - 勝者: コンピューター58
ルーム1: コンピューター77(グー) vs コンピューター83(パ―) - 勝者: コンピューター83
ルーム2: コンピューター20(パ―) vs コンピューター47(チョキ) - 勝者: コンピューター47
ルーム3: コンピューター39(グー) vs コンピューター41(パ―) - 勝者: コンピューター41
ルーム4: コンピューター89(パ―) vs コンピューター74(グー) - 勝者: コンピューター89
ルーム5: コンピューター80(グー) vs コンピューター28(パ―) - 勝者: コンピューター28
ルーム6: コンピューター30(チョキ) vs コンピューター12(パ―) - 勝者: コンピューター30
ルーム7: コンピューター65(チョキ) vs コンピューター3(グー) - 勝者: コンピューター3
ルーム8: コンピューター48(パ―) vs コンピューター15(チョキ) - 勝者: コンピューター15
ルーム9: コンピューター21(パ―) vs コンピューター34(チョキ) - 勝者: コンピューター34
ルーム10: コンピューター93(チョキ) vs コンピューター84(パ―) - 勝者: コンピューター93
ルーム11: コンピューター40(グー) vs コンピューター35(チョキ) - 勝者: コンピューター40
ルーム12: コンピューター81(パ―) vs コンピューター91(パ―) - あいこ
ルーム12: コンピューター81(グー) vs コンピューター91(グー) - あいこ
ルーム12: コンピューター81(パ―) vs コンピューター91(グー) - 勝者: コンピューター81
ルーム13: コンピューター13(グー) vs コンピューター61(チョキ) - 勝者: コンピューター13
ルーム14: コンピューター2(グー) vs コンピューター92(チョキ) - 勝者: コンピューター2
ルーム15: コンピューター55(グー) vs コンピューター4(チョキ) - 勝者: コンピューター55
ルーム16: コンピューター70(パ―) vs コンピューター6(チョキ) - 勝者: コンピューター6
ルーム17: コンピューター88(パ―) vs コンピューター33(パ―) - あいこ
ルーム17: コンピューター88(グー) vs コンピューター33(チョキ) - 勝者: コンピューター88
ルーム18: コンピューター57(グー) vs コンピューター68(チョキ) - 勝者: コンピューター57
ルーム19: コンピューター24(グー) vs コンピューター71(パ―) - 勝者: コンピューター71
ルーム20: コンピューター69(グー) vs コンピューター99(パ―) - 勝者: コンピューター99
ルーム21: コンピューター60(チョキ) vs コンピューター32(グー) - 勝者: コンピューター32
ルーム22: コンピューター63(パ―) vs コンピューター79(チョキ) - 勝者: コンピューター79
ルーム23: コンピューター52(パ―) vs コンピューター19(パ―) - あいこ
ルーム23: コンピューター52(チョキ) vs コンピューター19(チョキ) - あいこ
ルーム23: コンピューター52(チョキ) vs コンピューター19(グー) - 勝者: コンピューター19
ルーム24: コンピューター18(グー) vs コンピューター38(チョキ) - 勝者: コンピューター18
ルーム25: コンピューター94(チョキ) vs コンピューター97(グー) - 勝者: コンピューター97
ルーム26: コンピューター85(チョキ) vs コンピューター8(パ―) - 勝者: コンピューター85
ルーム27: コンピューター75(チョキ) vs コンピューター87(チョキ) - あいこ
ルーム27: コンピューター75(グー) vs コンピューター87(グー) - あいこ
ルーム27: コンピューター75(パ―) vs コンピューター87(グー) - 勝者: コンピューター75
ルーム28: コンピューター7(パ―) vs コンピューター16(グー) - 勝者: コンピューター7
ルーム29: コンピューター51(パ―) vs コンピューター98(パ―) - あいこ
ルーム29: コンピューター51(パ―) vs コンピューター98(パ―) - あいこ
ルーム29: コンピューター51(チョキ) vs コンピューター98(パ―) - 勝者: コンピューター51
ルーム30: コンピューター10(チョキ) vs コンピューター95(グー) - 勝者: コンピューター95
ルーム31: コンピューター42(グー) vs コンピューター64(チョキ) - 勝者: コンピューター42
ルーム32: コンピューター22(グー) vs コンピューター62(グー) - あいこ
ルーム32: コンピューター22(チョキ) vs コンピューター62(パ―) - 勝者: コンピューター22
ルーム33: コンピューター49(グー) vs コンピューター78(グー) - あいこ
ルーム33: コンピューター49(パ―) vs コンピューター78(グー) - 勝者: コンピューター49
ルーム34: コンピューター53(パ―) vs コンピューター36(グー) - 勝者: コンピューター53
ルーム35: コンピューター37(グー) vs コンピューター17(グー) - あいこ
ルーム35: コンピューター37(グー) vs コンピューター17(チョキ) - 勝者: コンピューター37
ルーム36: コンピューター54(グー) vs コンピューター100(グー) - あいこ
ルーム36: コンピューター54(グー) vs コンピューター100(パ―) - 勝者: コンピューター100
ルーム1: コンピューター83(パ―) vs コンピューター47(チョキ) - 勝者: コンピューター47
ルーム2: コンピューター41(パ―) vs コンピューター89(パ―) - あいこ
ルーム2: コンピューター41(チョキ) vs コンピューター89(パ―) - 勝者: コンピューター41
ルーム3: コンピューター28(パ―) vs コンピューター30(チョキ) - 勝者: コンピューター30
ルーム4: コンピューター3(グー) vs コンピューター15(チョキ) - 勝者: コンピューター3
ルーム5: コンピューター34(チョキ) vs コンピューター93(チョキ) - あいこ
ルーム5: コンピューター34(グー) vs コンピューター93(チョキ) - 勝者: コンピューター34
ルーム6: コンピューター40(グー) vs コンピューター81(パ―) - 勝者: コンピューター81
ルーム7: コンピューター13(グー) vs コンピューター2(グー) - あいこ
ルーム7: コンピューター13(チョキ) vs コンピューター2(パ―) - 勝者: コンピューター13
ルーム8: コンピューター55(グー) vs コンピューター6(チョキ) - 勝者: コンピューター55
ルーム9: コンピューター88(グー) vs コンピューター57(グー) - あいこ
ルーム9: コンピューター88(パ―) vs コンピューター57(パ―) - あいこ
ルーム9: コンピューター88(グー) vs コンピューター57(パ―) - 勝者: コンピューター57
ルーム10: コンピューター71(パ―) vs コンピューター99(パ―) - あいこ
ルーム10: コンピューター71(パ―) vs コンピューター99(パ―) - あいこ
ルーム10: コンピューター71(グー) vs コンピューター99(パ―) - 勝者: コンピューター99
ルーム11: コンピューター32(グー) vs コンピューター79(チョキ) - 勝者: コンピューター32
ルーム12: コンピューター19(グー) vs コンピューター18(グー) - あいこ
ルーム12: コンピューター19(グー) vs コンピューター18(グー) - あいこ
ルーム12: コンピューター19(グー) vs コンピューター18(グー) - あいこ
ルーム12: コンピューター19(チョキ) vs コンピューター18(チョキ) - あいこ
ルーム12: コンピューター19(チョキ) vs コンピューター18(チョキ) - あいこ
ルーム12: コンピューター19(チョキ) vs コンピューター18(チョキ) - あいこ
ルーム12: コンピューター19(パ―) vs コンピューター18(グー) - 勝者: コンピューター19
ルーム13: コンピューター97(グー) vs コンピューター85(チョキ) - 勝者: コンピューター97
ルーム14: コンピューター75(パ―) vs コンピューター7(パ―) - あいこ
ルーム14: コンピューター75(グー) vs コンピューター7(パ―) - 勝者: コンピューター7
ルーム15: コンピューター51(チョキ) vs コンピューター95(グー) - 勝者: コンピューター95
ルーム16: コンピューター42(グー) vs コンピューター22(チョキ) - 勝者: コンピューター42
ルーム17: コンピューター49(パ―) vs コンピューター53(パ―) - あいこ
ルーム17: コンピューター49(パ―) vs コンピューター53(チョキ) - 勝者: コンピューター53
ルーム18: コンピューター37(グー) vs コンピューター100(パ―) - 勝者: コンピューター100
ルーム19: コンピューター1(パ―) vs コンピューター5(グー) - 勝者: コンピューター1
ルーム20: コンピューター9(グー) vs コンピューター11(グー) - あいこ
ルーム20: コンピューター9(パ―) vs コンピューター11(チョキ) - 勝者: コンピューター11
ルーム21: コンピューター14(チョキ) vs コンピューター23(チョキ) - あいこ
ルーム21: コンピューター14(グー) vs コンピューター23(グー) - あいこ
ルーム21: コンピューター14(チョキ) vs コンピューター23(パ―) - 勝者: コンピューター14
ルーム22: コンピューター25(グー) vs コンピューター26(パ―) - 勝者: コンピューター26
ルーム23: コンピューター27(パ―) vs コンピューター29(グー) - 勝者: コンピューター27
ルーム24: コンピューター31(グー) vs コンピューター43(グー) - あいこ
ルーム24: コンピューター31(パ―) vs コンピューター43(チョキ) - 勝者: コンピューター43
ルーム25: コンピューター44(チョキ) vs コンピューター45(パ―) - 勝者: コンピューター44
ルーム26: コンピューター46(パ―) vs コンピューター50(チョキ) - 勝者: コンピューター50
ルーム27: コンピューター56(パ―) vs コンピューター58(パ―) - あいこ
ルーム27: コンピューター56(チョキ) vs コンピューター58(チョキ) - あいこ
ルーム27: コンピューター56(グー) vs コンピューター58(チョキ) - 勝者: コンピューター56
ルーム28: コンピューター59(パ―) vs コンピューター66(チョキ) - 勝者: コンピューター66
ルーム29: コンピューター67(パ―) vs コンピューター72(パ―) - あいこ
ルーム29: コンピューター67(グー) vs コンピューター72(チョキ) - 勝者: コンピューター67
ルーム30: コンピューター73(パ―) vs コンピューター76(チョキ) - 勝者: コンピューター76
ルーム31: コンピューター82(グー) vs コンピューター86(パ―) - 勝者: コンピューター86
ルーム32: コンピューター90(チョキ) vs コンピューター96(グー) - 勝者: コンピューター96
